CMDLINE C:\Users\User\PycharmProjects\kurs\.venv\Scripts\python.exe tetris.py
MEM 1.730469 1717483317.7511
MEM 3.125000 1717483317.8521
MEM 3.125000 1717483317.9531
MEM 3.125000 1717483318.0541
MEM 3.125000 1717483318.1551
MEM 3.125000 1717483318.2561
MEM 3.125000 1717483318.3571
MEM 3.125000 1717483318.4581
MEM 3.125000 1717483318.5591
MEM 3.125000 1717483318.6601
MEM 3.125000 1717483318.7611
MEM 3.125000 1717483318.8621
MEM 3.125000 1717483318.9631
MEM 3.125000 1717483319.0641
MEM 3.125000 1717483319.1651
MEM 3.125000 1717483319.2661
MEM 3.125000 1717483319.3666
MEM 3.125000 1717483319.4676
MEM 3.125000 1717483319.5686
MEM 3.125000 1717483319.6696
MEM 3.125000 1717483319.7707
MEM 3.125000 1717483319.8717
MEM 3.125000 1717483319.9728
MEM 3.125000 1717483320.0735
MEM 3.125000 1717483320.1745
MEM 3.125000 1717483320.2751
MEM 3.125000 1717483320.3755
MEM 3.125000 1717483320.4763
MEM 3.125000 1717483320.5768
MEM 3.125000 1717483320.6775
MEM 3.125000 1717483320.7787
MEM 3.125000 1717483320.8790
MEM 3.125000 1717483320.9795
MEM 3.125000 1717483321.0801
MEM 3.125000 1717483321.1807
MEM 3.125000 1717483321.2812
MEM 3.125000 1717483321.3824
MEM 3.125000 1717483321.4836
MEM 3.125000 1717483321.5838
MEM 3.125000 1717483321.6850
MEM 3.125000 1717483321.7853
MEM 3.125000 1717483321.8865
MEM 3.125000 1717483321.9871
MEM 3.125000 1717483322.0876
MEM 3.125000 1717483322.1881
MEM 3.125000 1717483322.2888
MEM 3.125000 1717483322.3894
MEM 3.125000 1717483322.4907
MEM 3.125000 1717483322.5916
MEM 3.125000 1717483322.6926
MEM 3.125000 1717483322.7934
MEM 3.125000 1717483322.8947
MEM 3.125000 1717483322.9962
MEM 3.125000 1717483323.0972
MEM 3.125000 1717483323.1982
MEM 3.125000 1717483323.2992
MEM 3.125000 1717483323.3997
MEM 3.125000 1717483323.5007
MEM 3.125000 1717483323.6010
MEM 3.125000 1717483323.7020
MEM 3.125000 1717483323.8029
MEM 3.125000 1717483323.9039
MEM 3.125000 1717483324.0050
MEM 3.125000 1717483324.1060
MEM 3.125000 1717483324.2070
MEM 3.125000 1717483324.3080
MEM 3.125000 1717483324.4090
MEM 3.125000 1717483324.5102
MEM 3.125000 1717483324.6112
MEM 3.125000 1717483324.7118
MEM 3.125000 1717483324.8128
MEM 3.125000 1717483324.9133
MEM 3.125000 1717483325.0143
MEM 3.125000 1717483325.1153
MEM 3.125000 1717483325.2164
MEM 3.125000 1717483325.3178
MEM 3.125000 1717483325.4187
MEM 3.125000 1717483325.5197
MEM 3.125000 1717483325.6207
MEM 3.125000 1717483325.7217
MEM 3.125000 1717483325.8227
MEM 3.125000 1717483325.9237
MEM 3.125000 1717483326.0248
MEM 3.125000 1717483326.1258
MEM 3.125000 1717483326.2263
MEM 3.125000 1717483326.3273
MEM 3.125000 1717483326.4279
MEM 3.125000 1717483326.5289
MEM 3.125000 1717483326.6296
MEM 3.125000 1717483326.7300
MEM 3.125000 1717483326.8310
MEM 3.125000 1717483326.9320
MEM 3.125000 1717483327.0323
MEM 3.125000 1717483327.1329
MEM 3.125000 1717483327.2339
MEM 3.125000 1717483327.3349
MEM 3.125000 1717483327.4359
MEM 3.125000 1717483327.5366
MEM 3.125000 1717483327.6376
MEM 3.125000 1717483327.7382
MEM 3.125000 1717483327.8392
MEM 3.125000 1717483327.9402
MEM 3.125000 1717483328.0406
MEM 3.125000 1717483328.1416
MEM 3.125000 1717483328.2426
MEM 3.125000 1717483328.3436
MEM 3.125000 1717483328.4441
MEM 3.125000 1717483328.5451
MEM 3.125000 1717483328.6457
MEM 3.125000 1717483328.7467
MEM 3.125000 1717483328.8478
MEM 3.125000 1717483328.9487
MEM 3.125000 1717483329.0497
MEM 3.125000 1717483329.1506
MEM 3.125000 1717483329.2516
MEM 3.125000 1717483329.3527
MEM 3.125000 1717483329.4537
MEM 3.125000 1717483329.5542
MEM 3.125000 1717483329.6548
MEM 3.125000 1717483329.7558
MEM 3.125000 1717483329.8569
MEM 3.125000 1717483329.9576
MEM 3.125000 1717483330.0586
MEM 3.125000 1717483330.1596
MEM 3.125000 1717483330.2606
MEM 3.125000 1717483330.3610
MEM 3.125000 1717483330.4621
MEM 3.125000 1717483330.5631
MEM 3.125000 1717483330.6636
MEM 3.125000 1717483330.7647
MEM 3.125000 1717483330.8653
MEM 3.125000 1717483330.9657
MEM 3.125000 1717483331.0667
MEM 3.125000 1717483331.1682
MEM 3.125000 1717483331.2688
MEM 3.125000 1717483331.3693
MEM 3.125000 1717483331.4699
MEM 3.125000 1717483331.5709
MEM 3.125000 1717483331.6719
MEM 3.125000 1717483331.7729
MEM 3.125000 1717483331.8739
MEM 3.125000 1717483331.9749
MEM 3.125000 1717483332.0760
MEM 3.125000 1717483332.1765
MEM 3.125000 1717483332.2776
MEM 3.125000 1717483332.3786
MEM 3.125000 1717483332.4796
MEM 3.125000 1717483332.5798
MEM 3.125000 1717483332.6810
MEM 3.125000 1717483332.7820
MEM 3.125000 1717483332.8830
MEM 3.125000 1717483332.9841
MEM 3.125000 1717483333.0846
MEM 3.125000 1717483333.1856
MEM 3.125000 1717483333.2866
MEM 3.125000 1717483333.3871
